extension_id	version	permission_score	combination_score	overprivilege_score	label
aaccjolckklhjaplpnpnkdaeljnljnbc	1.1	0.833333	0.500000	0	0.5
aahpgbacplgcbdahbambfolgieemccik	1.1.3	0.000000	0.200000	0	0.0
aalhjklngcphonhbhbkmjmbhhmfjhjph	1.0	0.750000	0.500000	0	0.5
aamiopnacegidhpcglndkgfjdllbmlgg	1.1.5	0.000000	0.200000	0	0.0
aapbdbdomjkkjkaonfhkkikfgjllcleb	2.0.13	0.625000	0.500000	1	1.0
abdceahijcbcenfjofjhiajiofajgdma	4.0.0.0	0.775000	0.627487	1	1.0
abjbccidhjoddjpookljjcfcbnfeifdf	0.2	0.666667	0.500000	0	0.5
ablbbcmcncacdllpcpchheadfbamglla	0.1.2	1.000000	0.500000	0	0.5
abnfpajcijggaehjhidkhbkbfhpnkadd	2.0	0.500000	0.500000	0	0.5
acbkfalcicabpfnpljkpjjakdahbifoe	1.0	0.700000	0.500000	1	1.0
accobhpjgdalamjlbgclcedmmgellbie	0.0.1	0.750000	0.500000	0	0.5
acfiidfflepfnmbedjopglngghgkhfnp	1.0.3	0.833333	0.423744	1	1.0
acgafgniliahbabkngapdonnokhioaip	1.0.5	0.000000	0.200000	0	0.0
achllhiceefcgjejpfflbpmogopkjdkm	1.0.4	0.916667	0.500000	1	1.0
acicpliaiiclhnhfkpmadndmhookmfje	1.0	0.000000	0.200000	0	0.0
acmhhpcbnhmkcocdlpgemlameenbnodg	1.9.2	1.000000	0.200000	0	0.5
acnkchmamocdffiecncbjocloipnekho	2.0.0	0.000000	0.200000	0	0.0
acnnddblpbagepeocgaachdfeabgjdjk	1.0	0.000000	0.200000	0	0.0
acnoianecpejanpddlllljkmjcnkhaee	7.0	0.000000	0.200000	0	0.0
adadflhdbnnhnklfoikobkkeegmgolkm	0.2	0.000000	0.200000	0	0.0
adcapnpjicnkejbjjmkiecmhknoaidba	1.2	0.000000	0.200000	0	0.0
adchlmcbjcmdagjifknlmpegbibekbeb	3.4	1.000000	0.500000	0	0.5
adcpnmkldlgfkeoanhbgbgndgindehke	1.2.0	0.000000	0.200000	0	0.0
addogalmgkmjfbmgdnkijokekniicnpa	1.0	0.000000	0.200000	0	0.0
adglhhddohjoijboeejfahimbkfcdlgf	1	0.750000	0.500000	0	0.5
adhhkagbapeeceanomgljdojjmblfiap	0.0.6	1.000000	0.500000	0	0.5
adioijhbclffkkjohocmjgpdkidkkhjo	1.0	0.000000	0.200000	0	0.0
adjpfookfdkgmmecohaepnhdallpodjp	1.0.8	0.000000	0.200000	0	0.0
adkgbbinmifcmjgapjgjbddfkiingiif	1.0	0.750000	0.500000	0	0.5
adkmkipplalkkfohlagjfnoildgoefea	1.0	1.000000	0.500000	0	0.5
adnebkigaaeckjbdidmnilmjcfodmnbd	1.2.2	0.750000	0.500000	0	0.5
adnnminfeminidgoabklblicecbeikjd	1.5.4	1.000000	0.200000	0	0.5
adnpnpeaakhdhlhbcnbpepbdiddopgdb	2023.02.15.3	1.000000	0.200000	0	0.5
adpdhlgklbcnpipbnagfanjjebbjdlcp	0.0.0.2	0.750000	0.423744	1	1.0
aebgfnbiigmgljkikpooogbaehlcfcgp	0.2	0.750000	0.500000	0	0.5
aebpclfodpnfblpnkloadbnoeipdbpmd	1.0	0.000000	0.200000	0	0.0
aecgboihppnpemcjjmfkdnpppmkdennl	0.0.2	0.000000	0.200000	0	0.0
aecmcbfblpkahiifioikdnncmhpcipeb	1.0	0.000000	0.200000	0	0.0
aecmecanklokklnhelhjepnpennccggp	22.03.22.001	0.666667	0.500000	0	0.5
aeeaainkipbljndpimgdefnhgligegbd	0.0.3	0.607143	0.500000	1	1.0
aeebcpcmmalnaaddhbahbjepgoehlbla	1.1	0.833333	0.500000	0	0.5
aeeceippnodbklgciocaeampbhmheoan	1.0.0	0.875000	0.500000	1	1.0
aeefjmgkhkojbfeeamcmefbmjplhkaik	1.1	0.833333	0.500000	1	1.0
aefddebceogfhbkhimelahhjjopbocbc	1.0	1.000000	0.500000	0	0.5
aefifalfgckgjimmklnnoclncphgmcmp	1.2	0.000000	0.200000	0	0.0
aegnpopobnnnhhhogiekcldbhnogmpfj	1.0.0.1	0.821429	0.429987	1	1.0
aehjilmlhpkdheplfadccdpbnnkcikej	0.3.4	0.937500	0.500000	0	0.5
aejmledfaedleibpbccmbehpmelpkhgn	1.0.0.2	0.550000	0.500000	0	0.5
aekinlkdkmlcooibpjdheimdafnjjejj	1.0.1	0.000000	0.200000	0	0.0
aekppjdabgjplpnnlhfkcdjnkbhlloop	1.0	0.875000	0.500000	1	1.0
aeljpndigjlgcpgfghfabcghnfeningk	1.0	0.750000	0.500000	1	1.0
aemcnpfckeiaebajjcjehbffbpdidhhe	0.2.6	0.000000	0.200000	0	0.0
aemgpfhghkaafplfcdgjlilmdjokffao	0.1.0	1.000000	0.500000	0	0.5
aemjpfgopaodeffojdjeegahjfnfklka	4.5.1	0.666667	0.500000	1	1.0
aemollmfmfpnjnghboolodfcebahnbcj	1.01	0.000000	0.200000	0	0.0
aenibkimigleofgfjbpeecddlcffellg	1.0.0	0.000000	0.200000	0	0.0
aeocapagmalhabfngaijaggpbeohhhpl	1.0	0.875000	0.500000	0	0.5
aeoikijacpibhobmhffheglcpghphaen	0.9.2023.0505	0.750000	0.500000	0	0.5
aeokmoihelbkajigpildainifmdbmnmi	1.0	0.812500	0.500000	1	1.0
aephjlbphiophehpmmhbkmbdmkeiclpi	1.0.0	0.000000	0.200000	0	0.0
afagfcbgdobhoflciclhjheaflhjmpbg	1.0.0	0.000000	0.200000	0	0.0
afaoammamcojkbbocggodaienlbefekp	1.2.9	1.000000	0.200000	0	0.5
afbjfmdncdlpomhgjanodjfogbaiknho	6.0.2	0.750000	0.423744	1	1.0
afcdmhcipmpnnhljpahccccgkdnilmje	72.5	0.000000	0.200000	0	0.0
afhdhdllpdmajoopkogfdmdfdgmpjipp	1.0.0.11	0.805556	0.676699	1	1.0
afhkkcoonemllojedhmanfogkmkimjga	2.052	0.000000	0.200000	0	0.0
afhliekobdpikegigkiihhoggiajijpf	2.1	0.875000	0.500000	0	0.5
afiomadkjmmfgknhgkpbmbdffjippidf	1.0	0.850000	0.500000	1	1.0
afjkjgagahmaiodhogccibkbippdbchl	1.0.0	0.000000	0.200000	0	0.0
aflbgpajmfkoblfcgeambdlohbeieppb	1.2.2	0.000000	0.200000	0	0.0
aflimahpkmnllgnninbfakkfcdfcjgoh	1.0.0	0.500000	0.500000	0	0.5
afmndkijjhdafhkmlihmofnadiakgfhh	1.0.0	0.750000	0.500000	0	0.5
afndhdcaepfpdeinhndpocijfcplajkk	1.0	0.000000	0.200000	0	0.0
afnlfhpdjbhmbijpnikaioijajmokklc	1.0.0	0.625000	0.500000	1	1.0
afodfmphlbddelhbfafnhkbmhmpkiljn	1.0	0.833333	0.500000	1	1.0
afomfngknkjlhekibenoppibicpjgpha	1.0	1.000000	0.200000	0	0.5
afplmjnnfklilgpooepodcdhgahdkcpd	1.0	0.000000	0.200000	0	0.0
agaakcpbbejcmllnjfopojoeenbagden	1.0.3	0.916667	0.500000	0	0.5
agbkdpghihaobfldkoagkdcbblbajaff	0.2	0.625000	0.500000	1	1.0
agcgngkppacineoebbkladiglkndpbaf	1.5	0.000000	0.200000	0	0.0
agdcgngeemnjhdoehonmnpoppdeloope	2	0.000000	0.200000	0	0.0
agfndkifenolenjbpnbpklgladhjkgga	0.1	0.500000	0.200000	1	1.0
aggemgbnhianeljdghbebfgnknnillki	2.4	1.000000	0.500000	0	0.5
aggjnakmfgojpkjbbpgdodakonmclkhl	0.1.7	1.000000	0.500000	0	0.5
aggpnhkgjjnkfiijohiailpeimacdbmk	0.0.1	0.000000	0.200000	0	0.0
agjappnhmfoffegbhnakelgilanmnibb	2.1.1	0.750000	0.500000	0	0.5
agjmlbigpjomhddmfclplopjjlflpmpk	2.4.9	0.666667	0.500000	1	1.0
agkepiakojhofhjfghkapcihpakcafln	0.0.1	0.000000	0.200000	0	0.0
agkilneihpoaffkpafngaccacnhmkfbk	1.4.0	0.562500	0.500000	1	1.0
aglbdkmndnefhjfkldnbjihdpjhnbhla	1.0	0.750000	0.500000	0	0.5
agnnndfmbcaamlpiflmednkelehjnlip	1.2	0.000000	0.200000	0	0.0
agpnpnjhjblfjpmhbgchofhgdpclfani	1.4	0.000000	0.200000	0	0.0
agpoipkfbifkdhdghbjilapmbgdedomn	1.2	1.000000	0.500000	1	1.0
ahbdpmnonfephpdeeijemkkollhkgafk	1.0	0.666667	0.500000	0	0.5
ahbhjdenlbcnilhnhlbmffjeilgfekmd	1.0	1.000000	0.200000	0	0.5
ahboelaniihmcmhhbpegkjnemoloeifg	0.1.0	0.833333	0.500000	1	1.0
ahececfmpokpefkinagkbilamibaolkk	0.0.1.2	0.750000	0.500000	0	0.5
